id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
617657758083390538,Ellie Boo Bed & Breakfast: King Room,48483565,Ellie,,Xewkija,36.03376,14.252905,Private room,65,1,0,,,3,64,0,
12522859,"Modern apartment  in amazing location , sleeps 5",46331087,Christopher,,San Pawl il-Bahar,35.94972,14.4142,Entire home/apt,112,4,2,2018-08-11,0.03,1,356,0,
51484251,Gajdoru Valley View (shared space),23139730,Sue,,Xaghra,36.05462,14.27492,Private room,45,2,22,2022-09-21,1.62,1,194,13,
33426361,Private room in a modern apartment - quiet area,39800152,Jeanette,,Mosta,35.90538,14.4222,Private room,34,4,3,2022-09-06,0.57,4,163,3,
16139052,Super spacious maisonette in Rabat,105296958,Helen,,Rabat (Malta),35.87985,14.39025,Entire home/apt,45,3,157,2022-09-25,2.23,1,306,28,
8058542,Villa 2 bedroom apartment,31652475,Alison,,Mellieha,35.95925,14.3709,Entire home/apt,134,4,66,2022-09-05,1.00,5,292,12,
4163518,Valletta TimelessElegance:APTcentre,4214727,Maria,,Valletta,35.89682,14.51348,Entire home/apt,106,1,242,2022-09-19,2.52,6,347,22,
43117476,Casa San Carlo Valletta - Bianca,39489185,Ken,,Valletta,35.90185,14.51355,Entire home/apt,92,2,8,2022-08-01,0.31,10,312,4,
16608075,Superior 2bedroom with sea views No.2,10172766,Matthew,,San Pawl il-Bahar,35.95128,14.41823,Entire home/apt,124,5,94,2022-08-13,1.41,9,216,24,
50647523,"St.Julian's 2 bedroom, sleeps 6, Central location",373975424,Kenneth,,San Giljan,35.91651,14.49104,Entire home/apt,64,3,12,2022-07-12,0.82,9,58,9,
592445007949970112,St Julian s apartment a few steps from the sea,76556384,Andrea,,San Giljan,35.91961,14.49044,Entire home/apt,112,1,3,2022-09-07,0.93,20,344,3,
53709815,Best Sliema central Seafront with Seaviews - GREEN,154545513,Caroline,,Sliema,35.90781,14.50558,Entire home/apt,80,1,31,2022-09-04,3.38,4,312,31,
37704608,Duplex 2 Bedroom in Portomaso St Julians,805030,Jason,,San Giljan,35.9199,14.49113,Entire home/apt,100,3,6,2022-09-22,2.95,3,317,6,
9617122,Bright and airy 3 bedroom apartment,49756369,Mark,,San Pawl il-Bahar,35.95248,14.41532,Entire home/apt,114,3,76,2022-08-22,0.97,1,334,8,
33951807,"Penthouse No. 8, Sliema (2 Bedroom) Top Location!",256379449,Gerald,,Sliema,35.91731,14.50093,Entire home/apt,97,2,32,2022-05-17,0.78,7,70,1,
47822067,Nice 3 Bedroom apartment at Sliema,330339176,Serge,,Sliema,35.91457,14.50045,Entire home/apt,150,4,4,2022-08-30,1.67,39,365,4,
684455318060055266,Sky apartment,472853002,Aleksandar,,San Pawl il-Bahar,35.9490695,14.4174016,Entire home/apt,108,6,0,,,1,365,0,
47418474,"Spacious, Central 2Bed penthouse with big Balcony☀️",385341680,ThreeSIXTY Estates,,Gzira,35.90575,14.49238,Entire home/apt,114,3,4,2022-08-16,0.39,282,359,4,
11563645,Sea view apartment in Marsaskala,47407576,Paul,,Marsascala,35.86457,14.56643,Entire home/apt,90,3,0,,,1,268,0,
50028315,Cozy room with private bathroom (central),255191480,Lyna,,Pieta,35.89139,14.49264,Private room,21,3,110,2022-09-10,7.04,1,118,83,
719284336129888182,suitable house for 2 persons accommodation in gzir,480125969,Doğukan,,Gzira,35.901815162559274,14.489501304924488,Private room,48,1,0,,,1,365,0,
698253326717733933,Spacious 2 single beds - room available,476013960,Summer,,San Pawl il-Bahar,35.95583,14.42067,Private room,43,1,1,2022-09-11,1,1,365,1,
11502146,Corner 3 Bed apt overlooking Ta Pinu Sanctuary.,2313838,Edward,,Gharb,36.06269,14.21158,Entire home/apt,36,7,8,2019-05-14,0.11,7,209,0,
640326179793779646,Cozy Bight Room in NewApt 10minwalk from Paceville,343537971,Y,,Pembroke,35.92335,14.47948,Private room,41,1,10,2022-09-11,3.09,2,15,10,
48323012,Bright and Spacious Studio 2 mins walk from Sea,118990570,Finn,,Gzira,35.90475,14.49576,Entire home/apt,53,2,30,2022-09-11,2.15,48,347,22,
13036697,~ Five Trees ~ Private Twin or Triple Purple Room,71854279,FiveTrees,,Sliema,35.91112,14.50248,Private room,59,1,126,2022-07-29,1.63,2,75,15,
574548801933926306,"Studio house with large terrace, near St Julians",372885293,Jose,,San Giljan,35.91728,14.48645,Entire home/apt,52,2,5,2022-09-03,1.63,25,334,5,
594155552468965825,SEA-SIDE COSY APARTMENT WITH FREE WIFI,238452565,Michelle,,Marsascala,35.85928,14.567637,Entire home/apt,74,4,12,2022-09-15,2.22,1,343,12,
679572423355518012,Cosy double room with private bathroom,364643251,Eve,,San Pawl il-Bahar,35.9510694,14.4161722,Private room,51,1,1,2022-08-23,0.86,19,365,1,
45737584,Orion 4C Stunning & Luxurious 3 bedroom apartment,366689555,Susan,,San Pawl il-Bahar,35.95048,14.4206,Entire home/apt,100,7,8,2022-09-21,0.34,3,321,6,
50615778,Private room with Private Bathroom at Msida,330339176,Serge,,Msida,35.90262,14.48444,Private room,45,5,1,2021-07-31,0.07,39,58,0,
693248449288363961,2 bedroom apartment with jacuzzi and lovely view,584608,Francoise,,San Giljan,35.91285,14.49137,Entire home/apt,220,3,0,,,1,353,0,
33790710,Chic Apartment with views of St. Paul’s Islands,66321727,Marisa,,San Pawl il-Bahar,35.94812,14.39422,Entire home/apt,100,3,5,2019-08-16,0.12,1,360,0,
671045782148301289,Lovely 1-bedroom studio apartment with loft,216359306,Maureen And Paul,,Ghajnsielem,36.027194300200236,14.290282538699067,Entire home/apt,50,2,10,2022-09-23,5.88,1,352,10,
47572520,Antoniel Suites Double or Twin Room,382959868,Cristian,,San Giljan,35.92026,14.48854,Private room,86,1,46,2022-07-05,2.52,2,351,45,
36837642,"Mellieha - Modern Penthouse, close to Sandy Beach",190923031,Tracy Lee,,Mellieha,35.96625,14.36221,Entire home/apt,137,3,84,2022-08-20,2.24,1,254,25,
39175692,A small and quite flat,298340141,Alexander,,Mellieha,35.96545,14.36159,Entire home/apt,20,1,0,,,2,0,0,
47167306,Ground Floor 2 bedroom apartment Valletta/Floriana,16573646,Laurie,,Floriana,35.89148,14.50447,Entire home/apt,56,2,33,2022-09-10,2.16,15,161,27,
53961766,S3 Loxley iHero ClubHouse,252333802,Karol,,Qormi,35.87881,14.4792,Private room,25,1,12,2022-08-10,1.49,4,5,12,
35536006,Luxury Penthouse - Great location - NEW Jacuzzi,31252497,Erik,,San Giljan,35.92218,14.48856,Entire home/apt,499,3,12,2022-08-24,0.31,1,99,4,
21134115,Gozo Zen,14114885,Nikhil,,Zebbug (Ghawdex),36.0635,14.23333,Entire home/apt,90,2,40,2020-03-15,0.66,1,268,0,
23332028,Your Apartment Malta n.1,100339969,Dario & Stefano,,Floriana,35.89275,14.50261,Entire home/apt,195,3,8,2022-04-26,0.15,4,75,3,
655257,"Secluded condominium in Gozo, Malta",1112417,Cynthia,,Ghajnsielem,36.02351,14.29384,Entire home/apt,110,10,19,2022-08-30,0.17,1,362,1,
613500244663230665,SPACIOUS PV APT close to clubs & schools with WIFI,385341680,ThreeSIXTY Estates,,San Giljan,35.92384,14.48967,Entire home/apt,95,3,4,2022-07-31,1.25,282,365,4,
15487026,Modern Apt - 7 minutes to the sea and St Julians,99444529,Mark,,Swieqi,35.92061,14.48224,Entire home/apt,150,3,0,,,1,237,0,
43690978,"VICTORIA FARMHOUSE, GHASRI - GOZO , POOL, VIEWS",272562877,Joseph,,Ghasri,36.0669,14.22238,Entire home/apt,502,4,0,,,3,363,0,
38810387,Idyllic 2BR Apartment close to Amenities,17208391,Paola,,Msida,35.8968,14.48968,Entire home/apt,89,1,17,2022-09-11,0.49,63,333,15,
17180633,Ta' Bedu Farmhouse,98168509,Kurt,,Sannat,36.02384,14.23362,Entire home/apt,200,4,10,2021-10-23,0.15,1,0,1,
45061678,"★Sea view 2 bedroom -spacious, bright & central- 4",318717613,Zzzing,,Msida,35.89653,14.49236,Entire home/apt,91,1,13,2022-09-04,2.45,52,154,13,
